Loc,Kitchen1718,Kitchen1819,FS Target Cohort 1 (1718),FS Target Cohort 2 (1819)
101,FS,FS,0,0
102,FS,FS,0,0
103,FS,FS,0,0
105,FS,FS,0,0
110,FS,FS,0,0
113,FS,FS,0,0
119,FS,FS,0,0
120,FS,FS,0,0
123,SAT,SAT,0,0
125,SAT,SAT,1,0
126,FS,FS,0,0
128,FS,FS,0,0
129,SAT,SAT,0,0
130,SAT,SAT,1,1
134,SAT,SAT,0,1
135,SAT,SAT,0,0
136,SAT,SAT,0,0
137,SAT,SAT,0,0
138,SAT,SAT,0,0
139,SAT,SAT,0,0
140,FS,FS,1,0
141,SAT,SAT,0,1
142,SAT,SAT,0,0
144,FS,FS,0,0
146,SAT,SAT,0,0
147,SAT,SAT,0,1
149,SAT,SAT,0,0
158,FS,FS,0,0
200,FS,FS,0,0
201,FS,FS,0,0
202,FS,FS,0,0
205,SAT,SAT,0,0
214,FS,FS,0,0
216,FS,FS,0,0
219,FS,FS,0,0
221,SAT,SAT,0,0
224,SAT,SAT,0,0
226,FS,FS,0,1
229,FS,FS,0,0
232,SAT,SAT,0,0
234,SAT,SAT,0,0
237,SAT,SAT,0,0
238,SAT,SAT,0,0
239,SAT,SAT,0,0
241,FS,FS,0,0
245,SAT,SAT,0,0
247,SAT,SAT,0,0
248,SAT,SAT,0,0
249,SAT,SAT,1,1
251,SAT,SAT,0,0
252,SAT,SAT,0,0
254,SAT,SAT,1,1
258,SAT,SAT,1,1
259,1/2 P,1/2 P,0,0
262,FS,FS,0,0
263,SAT,SAT,0,0
264,SAT,SAT,0,1
265,FS,FS,0,0
267,SAT,SAT,0,0
268,FS,FS,0,0
269,SAT,SAT,0,0
272,SAT,SAT,0,0
402,FS,FS,0,0
403,FS,FS,0,0
406,FS,FS,0,0
414,FS,FS,0,0
422,SAT,SAT,1,1
424,SAT,SAT,0,0
427,SAT,SAT,0,0
428,SAT,SAT,0,0
430,SAT,SAT,0,1
432,FS,FS,0,0
435,FS,FS,0,0
436,SAT,SAT,0,0
437,SAT,SAT,1,0
438,SAT,SAT,1,1
444,SAT,SAT,0,0
446,FS,FS,0,0
447,SAT,SAT,0,0
448,FS,FS,0,0
453,SAT,SAT,0,0
456,SAT,SAT,0,0
457,1/2 P,1/2 P,0,0
502,FS,FS,0,0
505,FS,FS,0,0
506,FS,FS,0,0
507,FS,FS,0,0
508,FS,FS,0,0
509,FS,FS,0,0
515,FS,FS,0,0
516,FS,FS,0,0
517,FS,FS,1,1
518,,,0,0
